Date,Time,Id,CumReturnResid,CumReturnRaw,CumVolume
20100104,45:00.0,BBG000BK1FD3,0.012116895,0.028876966,174651
20100104,45:00.0,BBG000FKJRC5,-0.003457163,0.00620291,70779
20100104,45:00.0,GEN_EQ0015479000002000,-0.002703979,0.006110461,38714
20100104,45:00.0,BBG000BL79J3,0.007139117,0.01971703,104553
20100104,45:00.0,GEN_EQ0034828200001000,-0.005664531,0.00141229,367563
20100104,45:00.0,BBG000BTCH57,-0.003692624,0.008341315,58247
20100104,45:00.0,BBG000BX3BL3,0.00306691,0.014260932,69723
20100104,45:00.0,BBG000BDXGP9,0.004260062,0.001735111,148923
20100104,45:00.0,BBG000DWG505,-0.00856549,0.003061316,3897
20100104,45:00.0,BBG000FFH4P5,0.013281273,0.024112878,82789
20100104,45:00.0,GEN_EQ0140919900001000,-0.001206497,0.002192794,188275
20100104,45:00.0,BBG000NSCNT7,-0.008770756,0.007276558,151469
20100104,45:00.0,BBG000BNFLM9,3.1134205e-05,0.01823266,188539
20100104,45:00.0,BBG000BY2Y78,-0.016149681,-0.004040008,311489
20100104,45:00.0,BBG000BKXFN7,0.00103264,0.03384312,145029
20100104,45:00.0,BBG000BK6G19,0.003261238,0.033564743,93232
20100104,45:00.0,BBG000BMFFQ0,-0.001683951,0.009912805,137581
20100104,45:00.0,BBG000BS9489,0.003685165,0.009032906,57316
20100104,45:00.0,BBG000BGD7W6,0.005322046,0.022014469,231102
20100104,45:00.0,BBG000BF8TF5,0.004325659,0.04397137,242395
20100104,45:00.0,BBG000BBVCN6,-0.006330531,0.006041032,38831
20100104,45:00.0,BBG000D3MB18,0.011096261,0.022585636,387715
20100104,45:00.0,BBG000BBNYF6,-0.004872678,-0.00270926,188938
20100104,45:00.0,BBG000BX9WL1,-0.008575731,0.012456357,176779
20100104,45:00.0,BBG000C2V3D6,-0.006374889,0.006385398,177327
20100104,45:00.0,BBG000BL5W86,-0.0062704,0.038741138,1172223
20100104,45:00.0,BBG000BC15S7,-0.004235173,-0.004050177,84647
20100104,45:00.0,BBG000C1S2X2,0.001713701,0.008278934,108036
20100104,45:00.0,BBG000BQWPC5,0.002160577,0.005144792,86796
20100104,45:00.0,BBG000BGFLL5,0.001443026,0.009495498,124952
20100104,45:00.0,BBG000BGXZB5,0.0041333,0.012952508,851837
20100104,45:00.0,BBG000BHLYS1,0.002919989,0.004511811,90061
20100104,45:00.0,BBG000D8RG11,0.002412293,0.01947095,105275
20100104,45:00.0,GEN_EQ0010066700001000,-0.001887602,0.009568279,77720
20100104,45:00.0,BBG000FJRZ68,-0.001406894,0.026206162,82591
20100104,45:00.0,BBG000BFS7D3,-0.000166688,0.003852103,59527
20100104,45:00.0,BBG000BH5DV1,-0.00116866,0.006347762,213068
20100104,45:00.0,BBG000FQ6PY6,7.833608e-05,0.011170932,94612
20100104,45:00.0,GEN_EQ0010050500001000,0.000168217,0.0244277,330254
20100104,45:00.0,BBG000BL9439,0.003937864,0.00035025,66675
20100104,45:00.0,BBG000BN2DC2,-0.004952896,0.009425569,136825
20100104,45:00.0,BBG000BGLRN3,0.00553915,0.012135224,129237
20100104,45:00.0,BBG000DQTXY6,0.002452159,0.010114923,201026
20100104,45:00.0,BBG000BQSQ38,0.000691179,0.005873631,290518
20100104,45:00.0,BBG000BSBZH7,-0.004904351,0.002106992,267841
20100104,45:00.0,BBG000BV75B7,0.015083915,0.031431954,209373
